"","x"
"228","@gtconway3d People get arrested and convicted for trying to commit crimes all the time such as attempted murder. Ho… https://t.co/TpqsDHfBnu"
"229","@RealSaavedra @CNN you should FIRE April Ryan for suggesting murder by lopping off a head is acceptable behavior!!!… https://t.co/99zJLbznxf"
"230","how to get away with murder loves to mess with my emotions"
"231","@KevvMoore @thecrazytrainx2 @richotheman FACT THEY ARE STILL KILLING INNOCENT AMERICAN CITIZENS THAT ARE NOT CRIMIN… https://t.co/4eGQnlwMn4"
"232","@753112jma If you hire someone to do it, you are criminally liable whether or not the hitman carries out the deed.… https://t.co/QvYCluagN0"
"233","First, this prick wants to murder unborn children right up to their birth. 

Now, he's okay with helping kill the e… https://t.co/TGaFnfq4ve"
"234","murder case w no suspects"
"235","@GiorgioCafiero: ""Since the murder of Jamal #Khashoggi in the Saudi consulate in #Istanbul on Oct. 2, some American… https://t.co/sKw8FHAU67"
"236","@The_Greg_Jolly @FrankVeritable @thehill @AprilDRyan @PressSec Your a fool! And your spouting a double standard. It… https://t.co/NuYMWDkL5m"
"237","She’s not saying she wants to murder them. Honestly I get it. I can’t really handle more than a cat or fish myself. https://t.co/doGN7a8ng4"
"238","@SICKENLAW Mostly cause the law is written on my heart. I don't need a law to know that murder us wrong. Your point… https://t.co/G2ONGH4oCS"
